ssl_gloss,predicted_include_gloss,count,video2
House,old,7,../all_outputs/output_include/Adjectives/old/MVI_9263.pkl
House,Chair,6,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
House,Afternoon,4,../all_outputs/output_include/Days_and_Time/Afternoon/MVI_9192.pkl
How,happy,4,../all_outputs/output_include/Adjectives/happy/MVI_9542.pkl
How,Chair,3,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
How,Hospital,3,../all_outputs/output_include/Places/Hospital/MVI_3480.pkl
How_many,Chair,12,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
How_many,Bed,4,../all_outputs/output_include/Home/Bed/MVI_9007.pkl
How_many,Bird,2,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
It,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
It,Bathroom,7,../all_outputs/output_include/Home/Bathroom/MVI_8783.pkl
It,fast,4,../all_outputs/output_include/Adjectives/fast/MVI_9325.pkl
Learn,Brother,5,../all_outputs/output_include/People/Brother/MVI_5096.pkl
Learn,Soap,5,../all_outputs/output_include/Home/Soap/MVI_4914.pkl
Learn,Animal,4,../all_outputs/output_include/Animals/Animal/MVI_8576.pkl
Learn?,Chair,4,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Learn?,Street_or_Road,4,../all_outputs/output_include/Places/Street_or_Road/MVI_3597.pkl
Learn?,happy,4,../all_outputs/output_include/Adjectives/happy/MVI_9542.pkl
Little,Chair,14,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Little,Suit,4,../all_outputs/output_include/Clothes/Suit/MVI_3990.pkl
Little,Bathroom,1,../all_outputs/output_include/Home/Bathroom/MVI_8783.pkl
Make,I,5,../all_outputs/output_include/Pronouns/I/MVI_9879.pkl
Make,Patient,5,../all_outputs/output_include/Jobs/Patient/MVI_4476.pkl
Make,Fish,4,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl
Me,Chair,9,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Me,Kitchen,5,../all_outputs/output_include/Home/Kitchen/MVI_9023.pkl
Me,Patient,3,../all_outputs/output_include/Jobs/Patient/MVI_4476.pkl
Mother,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Mother,Lamp,3,../all_outputs/output_include/Electronics/Lamp/MVI_5383.pkl
Mother,old,3,../all_outputs/output_include/Adjectives/old/MVI_9263.pkl
My,Animal,3,../all_outputs/output_include/Animals/Animal/MVI_8576.pkl
My,Chair,3,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
My,God,3,../all_outputs/output_include/Society/God/MVI_8748.pkl
No,Chair,6,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
No,fast,5,../all_outputs/output_include/Adjectives/fast/MVI_9325.pkl
No,Bird,2,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Now,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Now,Lamp,2,../all_outputs/output_include/Electronics/Lamp/MVI_5383.pkl
Now,Sign,2,../all_outputs/output_include/Society/Sign/MVI_8741.pkl
Please,Chair,11,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Please,Bird,5,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Please,fast,4,../all_outputs/output_include/Adjectives/fast/MVI_9325.pkl
Read,Bird,13,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Read,big_large,3,../all_outputs/output_include/Adjectives/big_large/MVI_5283.pkl
Read,wide,3,../all_outputs/output_include/Adjectives/wide/MVI_9311.pkl
Relationship,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Relationship,Pencil,3,../all_outputs/output_include/Home/Pencil/MVI_9029.pkl
Relationship,Attack,2,../all_outputs/output_include/Society/Attack/MVI_8966.pkl
Report,Chair,6,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Report,Bird,5,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Report,Suit,3,../all_outputs/output_include/Clothes/Suit/MVI_3990.pkl
School,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
School,Bird,3,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
School,Suit,3,../all_outputs/output_include/Clothes/Suit/MVI_3990.pkl
See,Train,13,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
See,Pleased,7,../all_outputs/output_include/Greetings/Pleased/MVI_0010.pkl
See?,Chair,4,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
See?,Bird,3,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
See?,Kitchen,3,../all_outputs/output_include/Home/Kitchen/MVI_9023.pkl
Sinhala,Science,11,../all_outputs/output_include/Society/Science/MVI_8742.pkl
Sinhala,Bird,4,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Sinhala,Chair,2,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Sister,Chair,13,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Sister,Bird,5,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Sister,Suit,2,../all_outputs/output_include/Clothes/Suit/MVI_3990.pkl
Sorry,Morning,4,../all_outputs/output_include/Days_and_Time/Morning/MVI_5062.pkl
Sorry,Chair,3,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Sorry,War,3,../all_outputs/output_include/Society/War/MVI_4832.pkl
Start,Fish,8,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl
Start,Animal,4,../all_outputs/output_include/Animals/Animal/MVI_8576.pkl
Start,I,2,../all_outputs/output_include/Pronouns/I/MVI_9879.pkl
Stay?,Chair,5,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Stay?,Pleased,4,../all_outputs/output_include/Greetings/Pleased/MVI_0010.pkl
Stay?,Sign,3,../all_outputs/output_include/Society/Sign/MVI_8741.pkl
Staying,Animal,5,../all_outputs/output_include/Animals/Animal/MVI_8576.pkl
Staying,Fish,5,../all_outputs/output_include/Animals/Fish/MVI_8565.pkl
Staying,Election,3,../all_outputs/output_include/Society/Election/MVI_8968.pkl
Still,new,12,../all_outputs/output_include/Adjectives/new/MVI_9423.pkl
Still,Train,8,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Talk,Chair,12,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Talk,Attack,4,../all_outputs/output_include/Society/Attack/MVI_8966.pkl
Talk,Afternoon,1,../all_outputs/output_include/Days_and_Time/Afternoon/MVI_9192.pkl
Talk?,Train,17,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Talk?,Pant,1,../all_outputs/output_include/Clothes/Pant/MVI_3709.pkl
Talk?,Street_or_Road,1,../all_outputs/output_include/Places/Street_or_Road/MVI_3597.pkl
Teach,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Teach,Bird,5,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Teach,tall,3,../all_outputs/output_include/Adjectives/tall/MVI_5114.pkl
Tell,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Tell,Marriage,3,../all_outputs/output_include/Society/Marriage/MVI_4274.pkl
Tell,fast,3,../all_outputs/output_include/Adjectives/fast/MVI_9325.pkl
Ten_People,Chair,6,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Ten_People,Bed,4,../all_outputs/output_include/Home/Bed/MVI_9007.pkl
Ten_People,Train,4,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Thank_You,T-Shirt,19,../all_outputs/output_include/Clothes/T-Shirt/MVI_5023.pkl
Thank_You,Radio,1,../all_outputs/output_include/Electronics/Radio/MVI_5419.pkl
There,Paper,8,../all_outputs/output_include/Home/Paper/MVI_8829.pkl
There,Bathroom,5,../all_outputs/output_include/Home/Bathroom/MVI_8783.pkl
There,Bird,2,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
To_You,Chair,7,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
To_You,Bird,4,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
To_You,President,3,../all_outputs/output_include/People/President/MVI_5128.pkl
Today,Chair,8,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Today,Train,6,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Today,Pleased,2,../all_outputs/output_include/Greetings/Pleased/MVI_0010.pkl
Tomorrow,Hour,11,../all_outputs/output_include/Days_and_Time/Hour/MVI_5496.pkl
Tomorrow,Science,5,../all_outputs/output_include/Society/Science/MVI_8742.pkl
Tomorrow,Actor,2,../all_outputs/output_include/Jobs/Actor/MVI_8921.pkl
Tuesday,Bird,6,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Tuesday,Actor,5,../all_outputs/output_include/Jobs/Actor/MVI_8921.pkl
Tuesday,Exercise,4,../all_outputs/output_include/Society/Exercise/MVI_4853.pkl
Twenty,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Twenty,Pleased,4,../all_outputs/output_include/Greetings/Pleased/MVI_0010.pkl
Twenty,War,2,../all_outputs/output_include/Society/War/MVI_4832.pkl
Understand,Chair,6,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Understand,Train,6,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
Understand,Ball,3,../all_outputs/output_include/Society/Ball/MVI_8730.pkl
University,tall,5,../all_outputs/output_include/Adjectives/tall/MVI_5114.pkl
University,Chair,4,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
University,old,4,../all_outputs/output_include/Adjectives/old/MVI_9263.pkl
Video,Year,8,../all_outputs/output_include/Days_and_Time/Year/MVI_4637.pkl
Video,Pleased,3,../all_outputs/output_include/Greetings/Pleased/MVI_0010.pkl
Video,T-Shirt,3,../all_outputs/output_include/Clothes/T-Shirt/MVI_5023.pkl
What,Chair,11,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
What,Train,3,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
What,Bathroom,2,../all_outputs/output_include/Home/Bathroom/MVI_8783.pkl
When,Bird,4,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
When,Morning,4,../all_outputs/output_include/Days_and_Time/Morning/MVI_5062.pkl
When,Chair,3,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Where,Chair,7,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Where,Bird,4,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Where,Key,3,../all_outputs/output_include/Home/Key/MVI_4925.pkl
Write,Chair,5,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Write,Bathroom,4,../all_outputs/output_include/Home/Bathroom/MVI_8783.pkl
Write,Hospital,3,../all_outputs/output_include/Places/Hospital/MVI_3480.pkl
Yes,Chair,9,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Yes,Afternoon,7,../all_outputs/output_include/Days_and_Time/Afternoon/MVI_9192.pkl
Yes,Train,3,../all_outputs/output_include/Means_of_Transportation/Train/MVI_8580.pkl
You,Chair,10,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
You,Bird,5,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
You,Suit,4,../all_outputs/output_include/Clothes/Suit/MVI_3990.pkl
Your,Bird,8,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
Your,Chair,5,../all_outputs/output_include/Home/Chair/MVI_8756.pkl
Your,Afternoon,3,../all_outputs/output_include/Days_and_Time/Afternoon/MVI_9192.pkl
w064,War,7,../all_outputs/output_include/Society/War/MVI_4832.pkl
w064,T-Shirt,5,../all_outputs/output_include/Clothes/T-Shirt/MVI_5023.pkl
w064,Bird,4,../all_outputs/output_include/Animals/Bird/MVI_4156.pkl
